Run,MR(fold),n,CL,LCL,UCL,runs.signal,sigma.signal
2023-01-01T00:00:00Z,NA,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-01-08T00:00:00Z,1.2742199452766745,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-01-15T00:00:00Z,1.4807206531651744,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-01-22T00:00:00Z,1.6289140005760419,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-01-29T00:00:00Z,3.658561857937326,1,1.4671310782755598,1,3.498275039792789,FALSE,TRUE
2023-02-05T00:00:00Z,2.153314356353349,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-02-12T00:00:00Z,1.5180352730534183,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-02-19T00:00:00Z,1.8936918559698284,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-02-26T00:00:00Z,2.1726137622878747,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-03-05T00:00:00Z,2.0498761242651464,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-03-12T00:00:00Z,1.0411274001070077,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-03-19T00:00:00Z,1.0378346556656288,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-03-26T00:00:00Z,1.6910734558576768,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-04-02T00:00:00Z,1.6155295449912648,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-04-09T00:00:00Z,1.2644015863984792,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-04-16T00:00:00Z,1.085299726916171,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-04-23T00:00:00Z,1.9849859680943778,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-04-30T00:00:00Z,1.2675858372763782,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-05-07T00:00:00Z,1.1126502988158002,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-05-14T00:00:00Z,1.0485492815671007,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-05-21T00:00:00Z,1.01009633117152,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-05-28T00:00:00Z,1.2061660526917788,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-06-04T00:00:00Z,1.1647819776682808,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-06-11T00:00:00Z,1.023061836972171,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-06-18T00:00:00Z,1.4291364313013162,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-06-25T00:00:00Z,1.2982173705491884,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-07-02T00:00:00Z,1.1103266513356476,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-07-09T00:00:00Z,2.23465480092716,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-07-16T00:00:00Z,2.4786136550514115,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-07-23T00:00:00Z,1.655625496770179,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-07-30T00:00:00Z,3.5014741687860944,1,1.4671310782755598,1,3.498275039792789,FALSE,TRUE
2023-08-06T00:00:00Z,1.9296827227469502,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-08-13T00:00:00Z,1.0314675198115966,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-08-20T00:00:00Z,1.2232937054262552,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-08-27T00:00:00Z,1.034948156186802,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-09-03T00:00:00Z,1.2168407880707628,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-09-10T00:00:00Z,1.2731036266345706,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-09-17T00:00:00Z,1.2203576666088618,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-09-24T00:00:00Z,1.2673472658612865,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
2023-10-01T00:00:00Z,1.4535658795886335,1,1.4671310782755598,1,3.498275039792789,FALSE,FALSE
