Run,Std.Dev(fold),n,CL,LCL,UCL,runs.signal,sigma.signal
2023-01-01T00:00:00Z,1.2389215156464886,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-01-08T00:00:00Z,1.4711909309796265,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-01-15T00:00:00Z,1.9207584364585537,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-01-22T00:00:00Z,1.4355789767167297,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-01-29T00:00:00Z,2.648885186877437,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-02-05T00:00:00Z,1.0444584263696048,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-02-12T00:00:00Z,NA,1,1.4532767003426783,NA,NA,TRUE,FALSE
2023-02-19T00:00:00Z,1.6100868444672904,3,1.4532767003426783,1,2.611788448830192,TRUE,FALSE
2023-02-26T00:00:00Z,1.654395959298879,3,1.4532767003426783,1,2.611788448830192,TRUE,FALSE
2023-03-05T00:00:00Z,1.4921715507389108,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-03-12T00:00:00Z,1.344071807251432,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-03-19T00:00:00Z,NA,1,1.4532767003426783,NA,NA,TRUE,FALSE
2023-03-26T00:00:00Z,1.2611802640731797,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-04-02T00:00:00Z,NA,1,1.4532767003426783,NA,NA,TRUE,FALSE
2023-04-09T00:00:00Z,1.5470050269699487,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-04-16T00:00:00Z,1.3302092405444224,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-04-23T00:00:00Z,1.0165504221697401,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-04-30T00:00:00Z,1.6659054684055803,3,1.4532767003426783,1,2.611788448830192,TRUE,FALSE
2023-05-07T00:00:00Z,1.1787185893365615,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-05-14T00:00:00Z,1.7281400946206358,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-05-21T00:00:00Z,NA,1,1.4532767003426783,NA,NA,TRUE,FALSE
2023-05-28T00:00:00Z,1.297308995912084,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-06-04T00:00:00Z,1.8097167817120559,3,1.4532767003426783,1,2.611788448830192,TRUE,FALSE
2023-06-11T00:00:00Z,1.3075845218599897,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-06-18T00:00:00Z,1.294240709973789,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-06-25T00:00:00Z,1.5952395995413302,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-07-02T00:00:00Z,1.223537860444618,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-07-09T00:00:00Z,1.6536550426371506,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-07-16T00:00:00Z,1.37240764441583,6,1.4532767003426783,1.0114150594627485,2.0881765087428885,TRUE,FALSE
2023-07-23T00:00:00Z,1.2549979358713645,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-07-30T00:00:00Z,1.3489926189431125,3,1.4532767003426783,1,2.611788448830192,TRUE,FALSE
2023-08-06T00:00:00Z,1.3201495603580886,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-08-13T00:00:00Z,1.439911814224452,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-08-20T00:00:00Z,1.2516074348921142,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-08-27T00:00:00Z,1.4204905116513753,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
2023-09-03T00:00:00Z,NA,1,1.4532767003426783,NA,NA,TRUE,FALSE
2023-09-10T00:00:00Z,1.1229934979724003,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-09-17T00:00:00Z,1.240338739255825,5,1.4532767003426783,1,2.183460175703122,TRUE,FALSE
2023-09-24T00:00:00Z,1.7145689618307636,4,1.4532767003426783,1,2.3328612826550965,TRUE,FALSE
2023-10-01T00:00:00Z,1.0390252982365042,2,1.4532767003426783,1,3.3909074712602187,TRUE,FALSE
